Tag,iGreen database tag name,Description,Units
FIT_900_002_P.PV,Final Product Flow (FIT-900-002),Product water Delivery Flow,gpm
PIT_900_003_P.PV,Final Product Pressure (PIT-900-003),Product delivery pressure,psi
Added by Frits for calc Power,P-900-001/1 Actual Speed,,
Added by Frits for calc Power,P-900-001/2 Actual Speed,,
AIT_900_003_P.PV,Final Product Conductivity (AIT-900-003),Conductivity Product Tank Discharge,uS/cm
AIT_900_006_P.PV,Lime Water Conductivity (AIT-900-006),Conductivity Lime water Buffer Tank,uS/cm
RO_UCL.TDS_SW,Not in database, to be calculated from Intake Conductivity (AIT-100-001),TDS Seawater (calculated),ppt
PIT_100_001_P.PV,Intake Discharge Pressure (PIT-100-001),Seawater inlet pressure,psi
PT_100_002_P.PV,Intake Discharge Pressure (PIT-100-002),Seawater effluent pressure,psi
TIT_100_002_P.PV,Intake Temperature (TIT-100-002),Seawater inlet temperature,F
AIT_100_001_P.PV,Intake Conductivity (AIT-100-001),Conductivity Seawater,uS/cm
AIT_100_002_P.PV,Intake pH (AIT-100-002),pH Seawater,-
AIT_100_003_P.PV,Final Product Conductivity (AIT-900-003),Turbidity Seawater,-
FIT_100_001_P.PV,Intake Flow (FIT-100-001),Intake Flow,gpm
P_100_001_1_P.HOURS,P100-001/1 Hours (Last withhout interval),Intake Pump 1,min
P_100_001_2_P.HOURS,P100-001/2 Hours (Last withhout interval),Intake Pump 2,min
MPDA_kW,MPDA_kW,MPD A power Consumption,kW
,Not in Database, to be calcuated from the pump curve,Power of the HP pump - from VFD in MPD A,kW
,Not in Database, to be calcuated from the pump curve,Power of the circ pump - from VFD in MPD A,kW
,Not in Database, to be calcuated from the pump curve,Power of the circ pump - from VFD in MPD A,kW
AIT_400_001A_P.PV,Train A Product Conductivity (AIT-400-001A),Conductivity Product MPD,uS/cm
FIT_200_001A_P.PV,PT Feed Flow (FIT-200-001A),Seawater Inlet Flow MPD,Process Value in GPM
FIT_200_002A_P.PV,BW Pump P-200-002A  Discharge Flow (FIT-200-002A),PT Backwash Flow MPD,Process Value in GPM
FIT_200_004A_P.PV,BW Tank T-200-003A Feed Flow (FIT-200-004A),BW Tank Filling Flow,Process Value in GPM
FIT_400_001A_P.PV,Train A  Brine Flow (FIT-400-001A),Low Pressure Brine Flow MPD,Process Value in GPM
FIT_400_002A_P.PV,Train A  Product Flow (FIT-400-002A),Product Flow MPD,Process Value in GPM
LT_200_002A_P.PV,BW Tank T-200-003A Level (LIT-200-002A),Level Backwash Tank MPD,Level in Feet
P_200_001A_P.RPM_MV,RO Feed Pump P-200-001A  Actual Speed,RO Feed Pump- MPD A,Speed reference
P_200_002A_P.RPM_MV,BW Pump P-200-002A  Actual Speed,BW Pump- MPD A,Speed reference
P_400_001A_P.RPM_MV,P-400-001A  Actual Speed,ERS Circulation Pump - MPD A,Speed reference
P_400_002A_P.RPM_MV,P-400-002A  Actual Speed,HP Pump - MPD A,Speed reference
PDIT_200_001A_P.PV,Micronic Filters Diff. Pressure (PDIT-200-001A),Differential Pressure MF - MPD A,Process Value in PSI
PDIT_400_001A_P.PV,Train A  Feed-Brine Diff. Pressure (PDIT-400-001A),Differential Pressure RO Train - MPD A,Process Value in PSI
PDIT_400_002A_P.PV,P-400-002A Diff. Pressure (PDIT-400-002A),Differential Pressure ERS Cir. Pump - MPD A,Process Value in PSI
PIT_400_003A_P.PV,P-400-002A Discharge Pressure (PIT-400-003A),Feed Pressure RO Train - MPD A,Process Value in PSI
PT_200_005A_P.PV,Blower Discharge Pressure (PT-200-005A),Pressure air discharge Blower MPD - MPD A,Process Value in PSI
PT_200_006A_P.PV,RO Feed Pump P-200-001A  Suction Pressure (PT-200-006A),Suction Pressure RO Feed Pump MPD - MPD A,Process Value in PSI
PT_200A_Tags.Q_Filtrate_PV,RO Feed Pump P-200-001A  Discharge Flow (Calc.),Total Filtration Flow - MPD A,Process Value in GPM
PT_200A_Tags.Q_RO_Feed_PV,Train A  Feed Flow (Calc.),Flow to RO Unit,Process Value in GPM
PT_400_002A_P.PV,P-400-002A Suction Pressure (PT-400-002A),Suction Pressure HP Pump MPD - MPD A,Process Value in PSI
Q_400_001A_P.PV,P-400-002A  Flow (Calc.),HP discharge flow ERS Cir Pump - MPD A,Process Value in GPM
Q_400_002A,Train A  Feed Flow (Calc.),Feed Flow RO Train - MPD A,Process Value in GPM
RO_300A_Tags.RO.Recovery,Train A Recovery PV,Recovery RO Train - MPD A,Process Value in %
MPDB_kW,MPDB_kW,MPD power Consumption,kW
,Not in Database, to be calcuated from the pump curve,Power of the HP pump - from VFD in MPD A,kW
,Not in Database, to be calcuated from the pump curve,Power of the circ pump - from VFD in MPD A,kW
,Not in Database, to be calcuated from the pump curve,Power of the circ pump - from VFD in MPD A,kW
AIT_400_001B_P.PV,Train B Product Conductivity (AIT-400-001B),Conductivity Product MPD,uS/cm
FIT_200_001B_P.PV,PT Feed Flow (FIT-200-001B),Seawater Inlet Flow MPD,Process Value in GPM
FIT_200_002B_P.PV,BW Pump P-200-002B  Discharge Flow (FIT-200-002B),PT Backwash Flow MPD,Process Value in GPM
FIT_200_004B_P.PV,BW Tank T-200-003B Feed Flow (FIT-200-004B),BW Tank Filling Flow,Process Value in GPM
FIT_400_001B_P.PV,Train B  Brine Flow (FIT-400-001B),Low Pressure Brine Flow MPD,Process Value in GPM
FIT_400_002B_P.PV,Train B  Product Flow (FIT-400-002B),Product Flow MPD,Process Value in GPM
LT_200_002B_P.PV,BW Tank T-200-003B Level (LIT-200-002B),Level Backwash Tank MPD,Level in Feet
P_200_001B_P.RPM_MV,RO Feed Pump P-200-001B  Actual Speed,RO Feed Pump- MPD,Speed reference
P_200_002B_P.RPM_MV,BW Pump P-200-002B  Actual Speed,BW Pump- MPD,Speed reference
P_400_001B_P.RPM_MV,P-400-001B  Actual Speed,ERS Circulation Pump - MPD,Speed reference
P_400_002B_P.RPM_MV,P-400-002B  Actual Speed,HP Pump - MPD,Speed reference
PDIT_200_001B_P.PV,Micronic Filters Diff. Pressure (PDIT-200-001B),Differential Pressure MF - MPD,Process Value in PSI
PDIT_400_001B_P.PV,Train A  Feed-Brine Diff. Pressure (PDIT-400-001B),Differential Pressure RO Train - MPD,Process Value in PSI
PDIT_400_002B_P.PV,P-400-002A Diff. Pressure (PDIT-400-002B),Differential Pressure ERS Cir. Pump - MPD,Process Value in PSI
PIT_400_003B_P.PV,P-400-002A Discharge Pressure (PIT-400-003B),Feed Pressure RO Train - MPD,Process Value in PSI
PT_200_005B_P.PV,Blower Discharge Pressure (PT-200-005B),Pressure air discharge Blower MPD,Process Value in PSI
PT_200_006B_P.PV,RO Feed Pump P-200-001A  Suction Pressure (PT-200-006B),Suction Pressure RO Feed Pump MPD,Process Value in PSI
PT_200B_Tags.Q_Filtrate_PV,RO Feed Pump P-200-001B  Discharge Flow (Calc.),Total Filtration Flow ,Process Value in GPM
PT_200B_Tags.Q_RO_Feed_PV,Train B  Feed Flow (Calc.),Flow to RO Unit,Process Value in GPM
PT_400_002B_P.PV,P-400-002B Suction Pressure (PT-400-002B),Suction Pressure HP Pump MPD,Process Value in PSI
Q_400_001B_P.PV,P-400-002B  Flow (Calc.),HP discharge flow ERS Cir Pump,Process Value in GPM
Q_400_002B,Train B  Feed Flow (Calc.),Feed Flow RO Train,Process Value in GPM
RO_300B_Tags.RO.Recovery,Train B Recovery PV,Recovery RO Train,Process Value in %
MPDC_kW,MPDC_kW,MPD power Consumption,kW
